Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk,W,L
Paul Silas,PF,35,SEA,82,0,1957,170,402,.423,0,0,0,170,402,.423,.423,116,194,.598,259,316,575,115,31,19,98,177,456,5.0,52.0,30.0
Ralph Simpson,SG,29,TOT,69,0,979,174,433,.402,0,0,0,174,433,.402,.402,76,111,.685,35,61,96,126,37,5,100,57,424,11.475609756097562,35.646341463414636,33.35365853658537
Al Skinner,SG,26,TOT,45,0,643,91,214,.425,0,0,0,91,214,.425,.425,99,114,.868,27,59,86,89,40,3,72,114,281,7.743902439024391,22.987804878048784,22.012195121951223
Bingo Smith,SG,32,CLE,72,0,1650,361,784,.460,0,0,0,361,784,.460,.460,83,106,.783,77,129,206,121,43,7,75,188,805,18.0,30.0,52.0
Elmore Smith,C,29,CLE,24,0,332,69,130,.531,0,0,0,69,130,.531,.531,18,26,.692,45,61,106,13,7,16,42,60,156,18.0,30.0,52.0
Phil Smith,SG,26,GSW,59,0,2288,489,977,.501,0,0,0,489,977,.501,.501,194,255,.761,48,164,212,261,101,23,170,159,1172,13.0,38.0,44.0
Randy Smith,SG,30,SDC,82,82,3111,693,1523,.455,0,0,0,693,1523,.455,.455,292,359,.813,102,193,295,395,177,5,255,177,1678,15.0,43.0,39.0
Robert Smith,PG,23,DEN,82,0,1479,184,436,.422,0,0,0,184,436,.422,.422,159,180,.883,41,105,146,208,58,13,95,165,527,10.0,47.0,35.0
Sam Smith,SF,24,MIL,16,0,125,19,47,.404,0,0,0,19,47,.404,.404,18,24,.750,0,9,9,16,8,7,8,12,56,7.0,38.0,44.0
Willie Smith,PG,25,POR,13,0,131,23,44,.523,0,0,0,23,44,.523,.523,12,17,.706,7,6,13,17,10,1,14,19,58,11.0,45.0,37.0
Dick Snyder,SG,34,SEA,56,0,536,81,187,.433,0,0,0,81,187,.433,.433,43,51,.843,15,33,48,63,14,6,36,52,205,5.0,52.0,30.0
Ricky Sobers,SG,26,IND,81,0,2825,553,1194,.463,0,0,0,553,1194,.463,.463,298,338,.882,118,183,301,450,138,23,304,315,1404,14.0,38.0,44.0
Kevin Stacom,SG,27,TOT,68,0,831,128,342,.374,0,0,0,128,342,.374,.374,44,60,.733,30,55,85,112,29,1,80,47,300,13.658536585365853,28.878048780487802,39.1219512195122
Larry Steele,SG,29,POR,72,0,1488,203,483,.420,0,0,0,203,483,.420,.420,112,136,.824,58,113,171,142,74,10,96,208,518,11.0,45.0,37.0
Earl Tatum,SG,25,TOT,79,0,1233,280,627,.447,0,0,0,280,627,.447,.447,52,71,.732,41,84,125,73,78,34,88,165,612,15.597560975609756,28.865853658536587,50.13414634146341
Brian Taylor,PG,27,SDC,20,0,212,30,83,.361,0,0,0,30,83,.361,.361,16,18,.889,13,13,26,20,24,0,17,34,76,15.0,43.0,39.0
